date,team_1,team_2,team_1_goals,team_2_goals,tournament,is_team_1_home,is_team_2_home,is_neutral
15/7/98,Ukraine,Poland,1,2,Friendly,TRUE,FALSE,FALSE
18/7/98,Malawi,Zimbabwe,1,0,Friendly,TRUE,FALSE,FALSE
18/7/98,Uganda,Kenya,3,3,Friendly,TRUE,FALSE,FALSE
20/7/98,Malawi,Zimbabwe,0,0,Friendly,TRUE,FALSE,FALSE
22/7/98,Senegal,Cape Verde,1,0,Friendly,TRUE,FALSE,FALSE
24/7/98,Burkina Faso,Niger,1,0,Friendly,TRUE,FALSE,FALSE
25/7/98,Benin,Ghana,0,1,Friendly,TRUE,FALSE,FALSE
26/7/98,Niger,Ivory Coast,1,0,Friendly,TRUE,FALSE,FALSE
26/7/98,Senegal,Mali,3,1,Friendly,TRUE,FALSE,FALSE
30/7/98,Guam,Northern Mariana Islands,2,1,Friendly,FALSE,FALSE,TRUE
31/7/98,Kenya,Djibouti,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
31/7/98,Libya,Algeria,0,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
1/8/98,Namibia,Malawi,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
1/8/98,Palau,Guam,2,15,Friendly,TRUE,FALSE,FALSE
1/8/98,Uganda,Rwanda,5,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/8/98,Botswana,Mozambique,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/8/98,Burundi,Tanzania,1,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/8/98,Chad,Congo,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/8/98,Equatorial Guinea,Gabon,0,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/8/98,Lesotho,Mauritius,1,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/8/98,Mali,Cape Verde,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/8/98,Niger,Liberia,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
2/8/98,Sao Tome and Principe,Togo,0,4,African Cup of Nations 2000 Qualifiers,FALSE,FALSE,TRUE
2/8/98,Swaziland,Madagascar,1,2,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
3/8/98,Guam,Northern Mariana Islands,0,3,Friendly,FALSE,FALSE,TRUE
9/8/98,Benin,Niger,1,1,Friendly,TRUE,FALSE,FALSE
12/8/98,Azerbaijan,Georgia,1,0,Friendly,TRUE,FALSE,FALSE
14/8/98,Algeria,Libya,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/8/98,Kenya,Djibouti,9,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/8/98,Malawi,Namibia,0,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/8/98,Mozambique,Botswana,2,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/8/98,Tanzania,Burundi,0,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
15/8/98,Thailand,Uzbekistan,4,1,Friendly,TRUE,FALSE,FALSE
16/8/98,Angola,Benin,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/8/98,Cape Verde,Mali,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/8/98,Congo,Chad,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/8/98,Gabon,Equatorial Guinea,3,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/8/98,Liberia,Niger,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
16/8/98,Lithuania,Moldova,1,1,Friendly,TRUE,FALSE,FALSE
16/8/98,Rwanda,Uganda,0,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
18/8/98,Armenia,Lebanon,1,0,Friendly,TRUE,FALSE,FALSE
18/8/98,Poland,Israel,2,0,Friendly,TRUE,FALSE,FALSE
18/8/98,Togo,Sao Tome and Principe,2,0,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
19/8/98,Austria,France,2,2,Friendly,TRUE,FALSE,FALSE
19/8/98,Bosnia-Herzegovina,Faroe Islands,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
19/8/98,Cyprus,Albania,3,2,Friendly,TRUE,FALSE,FALSE
19/8/98,Czech Republic,Denmark,1,0,Friendly,TRUE,FALSE,FALSE
19/8/98,Hungary,Slovenia,2,1,Friendly,TRUE,FALSE,FALSE
19/8/98,Iceland,Latvia,4,1,Friendly,TRUE,FALSE,FALSE
19/8/98,Lithuania,Belarus,0,3,Friendly,TRUE,FALSE,FALSE
19/8/98,Norway,Romania,0,0,Friendly,TRUE,FALSE,FALSE
19/8/98,Portugal,Mozambique,2,1,Friendly,TRUE,FALSE,FALSE
19/8/98,Slovakia,Finland,0,0,Friendly,TRUE,FALSE,FALSE
19/8/98,Sweden,Russia,1,0,Friendly,TRUE,FALSE,FALSE
19/8/98,Ukraine,Georgia,4,0,Friendly,TRUE,FALSE,FALSE
20/8/98,Estonia,Moldova,0,1,Friendly,TRUE,FALSE,FALSE
23/8/98,Burkina Faso,Togo,1,1,Friendly,TRUE,FALSE,FALSE
23/8/98,Mauritius,Lesotho,3,1,African Cup of Nations 2000 Qualifiers,TRUE,FALSE,FALSE
30/8/98,Burkina Faso,Ivory Coast,1,1,Friendly,TRUE,FALSE,FALSE
31/8/98,Burkina Faso,Senegal,1,1,Friendly,TRUE,FALSE,FALSE
2/9/98,Malta,Germany,1,2,Friendly,TRUE,FALSE,FALSE
2/9/98,Morocco,Senegal,2,0,Friendly,TRUE,FALSE,FALSE
2/9/98,Romania,Liechtenstein,7,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
2/9/98,Serbia,Switzerland,1,1,Friendly,FALSE,FALSE,FALSE
5/9/98,Armenia,Andorra,3,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Austria,Israel,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Belarus,Denmark,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Bosnia-Herzegovina,Estonia,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Cyprus,Spain,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Finland,Moldova,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Georgia,Albania,1,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Germany,Romania,1,1,Friendly,FALSE,FALSE,TRUE
5/9/98,Iceland,France,1,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Ireland,Croatia,2,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Lithuania,Scotland,0,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Slovakia,Azerbaijan,3,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Sweden,England,2,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Turkey,Northern Ireland,3,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Ukraine,Russia,3,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
5/9/98,Wales,Italy,0,2,Euro 2000 Qualifiers,FALSE,FALSE,TRUE
6/9/98,Bulgaria,Poland,0,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/9/98,Faroe Islands,Czech Republic,0,1,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/9/98,Greece,Slovenia,2,2,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/9/98,Hungary,Portugal,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/9/98,Macedonia,Malta,4,0,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/9/98,Norway,Latvia,1,3,Euro 2000 Qualifiers,TRUE,FALSE,FALSE
6/9/98,Swaziland,Ghana,0,1,Friendly,TRUE,FALSE,FALSE
6/9/98,Togo,Benin,0,1,Friendly,TRUE,FALSE,FALSE
9/9/98,Kuwait,Lebanon,0,0,Friendly,TRUE,FALSE,FALSE
11/9/98,Saudi Arabia,Tanzania,8,0,Friendly,TRUE,FALSE,FALSE
12/9/98,Syria,Oman,3,0,Friendly,TRUE,FALSE,FALSE
13/9/98,Bahrain,Libya,2,2,Friendly,FALSE,FALSE,TRUE
13/9/98,Kuwait,Korea DPR,4,0,Friendly,TRUE,FALSE,FALSE
14/9/98,Saudi Arabia,Sudan,2,1,Friendly,TRUE,FALSE,FALSE
15/9/98,Syria,Oman,0,0,Friendly,TRUE,FALSE,FALSE
16/9/98,Egypt,Ivory Coast,0,0,Friendly,TRUE,FALSE,FALSE
16/9/98,Qatar,Sudan,1,1,Friendly,TRUE,FALSE,FALSE
16/9/98,United Arab Emirates,Libya,5,1,Friendly,TRUE,FALSE,FALSE
17/9/98,Saudi Arabia,Senegal,3,2,Friendly,TRUE,FALSE,FALSE
18/9/98,Bahrain,Syria,2,0,Friendly,TRUE,FALSE,FALSE
19/9/98,Solomon Islands,Papua New Guinea,2,1,Friendly,TRUE,FALSE,FALSE
20/9/98,Togo,Mali,0,1,Friendly,TRUE,FALSE,FALSE
22/9/98,Oman,Zambia,2,0,Friendly,TRUE,FALSE,FALSE
23/9/98,Brazil,Serbia,1,1,Friendly,TRUE,FALSE,FALSE
23/9/98,Estonia,Egypt,2,2,Friendly,TRUE,FALSE,FALSE
23/9/98,Spain,Russia,1,0,Friendly,TRUE,FALSE,FALSE
24/9/98,Oman,Zambia,1,1,Friendly,TRUE,FALSE,FALSE
25/9/98,Australia,Fiji,3,1,Oceania Nations Cup 1998,TRUE,FALSE,FALSE
25/9/98,New Zealand,Tahiti,1,0,Oceania Nations Cup 1998,FALSE,FALSE,TRUE
